Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Germany,78893268.2775,79848243.24,80907161.86,81792602.60499999,82676173.72,83639115.86250001,84600445.465,85331137.1725,85872304.41749999,86403233.48750001,86615787.82749999,86644231.00999999,86765122.0575,86801975.91499999,86851559.56,86882051.54249999,86931823.64500001,87149580.8075,87450500.015,87799769.1725,88178566.455,88356080.345,88333317.9925,88268230.14500001,88347341.8675,88718111.98,89262807.05,89879111.855,90584573.35249999,91449020.3075,92356709.715,93086626.93,93809056.965,94565930.995,95339319.095,96269468.045,97216420.405,97971311.3,98563386.5725,99278095.3525,100112415.545,100967348.5975,101884581.2225,102826968.31,103899523.6625,105073000.3125,106175022.5575,107096520.82249999,107836792.9175,108541410.4225,109231141.8825,108064074.615,108988811.15,110016680.9075,111252222.495,112748012.9125,114134897.0875,115185420.9325,116047758.19,116843673.58250001,117423387.1375
Greece,7821836.4125,7969811.2675,8071573.1675,8162653.495,8251957.8725000005,8339309.425000001,8447827.4425,8589635.5025,8657126.6975,8775914.932500001,9155891.175,9188324.555,9293858.2875,9391104.6975,9492571.475,9625725.2975,9792276.2325,9994639.4125,10173198.86,10349361.4925,10496521.3925,10637711.8775,10755656.8325,10868225.6125,10971400.945,11063370.785,11077750.415,11163970.4225,11256736.655000001,11369351.805,11538510.675,11741853.25,11911943.905000001,12070512.925,12224678.5175,12380462.7275,12529907.8825,12674274.2025,12819052.64,12954604.2,13125230.385,13214130.1325,13273708.6275,13411362.875,13550252.185,13692563.7075,13836189.66,13971608.875,14104928.0975,14249284.3825,14395055.285,14518969.0275,14594202.695,14647876.8225,14709899.469999999,14758586.7275,14811828.6725,14869839.265,14922044.7275,14984865.1125,15044925.9875
Hungary,9902312.775,9968892.377500001,10028701.5475,10096103.3675,10194988.685,10302055.9375,10418199.0075,10551203.79,10680552.425,10802625.66,10901596.5975,10965019.9375,11023462.23,11084680.7925,11176065.765,11307400.2475,11434092.627500001,11549102.06,11643234.26,11724728.5475,11756503.0775,11718563.0975,11662993.600000001,11598467.435,11559685.620000001,11565414.1225,11583836.34,11608746.8125,11645172.065000001,11570000.67,11484800.74,11498594.754999999,11502671.215,11502827.372499999,11520070.4875,11561621.4775,11601696.719999999,11639430.34,11683857.99,11727377.275,11777863.385,11824250.087499999,11859153.585,11896684.315000001,11942316.01,11992141.8425,12045664.1975,12096588.04,12147957.370000001,12212056.934999999,12265557.7,12309159.372499999,12357988.625,12405571.122499999,12457007.3025,12511356.670000002,12560318.045,12599132.86,12645238.75,12723606.830000002,12787949.32
Iceland,163187.9525,166492.9025,169471.9425,172278.54499999998,175123.70750000002,178043.845,181149.76,184139.15000000002,186781.33000000002,188821.005,190080.425,191850.1225,194882.28999999998,198300.8775,201528.765,204835.16,208053.65000000002,210706.415,213299.9325,216446.945,219706.7975,222855.40000000002,226336.2325,229928.9675,232944.96,235506.3525,238206.6625,241596.39,245581.515,249315.0925,252721.21750000003,256812.61250000002,261004.6225,264708.9,268087.5075,270896.9375,273608.005,277012.185,281055.645,285257.36750000005,290005.08999999997,295220.8425,299765.3225,303987.5625,308724.0875,315141.4375,323297.1975,331867.48750000005,339108.50749999995,343522.93500000006,347150.87,351774.875,357050.8025,362943.8875,369201.37,375491.76,382248.57999999996,391569.61,402521.87250000006,412715.65,421948.6675
India,344466741.95500004,351350758.315,358789513.745,366631396.83,374556856.7875,382356111.0925,390739957.3075,398855307.8225,406927576.14750004,415313047.7675,424286668.45500004,434231871.075,444548523.48749995,455202484.02,466098996.24249995,477212555.625,489014140.9275,500757088.8925,512597107.755,524758081.4825,537426744.03,550838387.3399999,564511126.245,578373429.1975,592291078.4100001,606195721.8199999,620623692.8225,634629308.26,648336462.8775,661945527.0775,675662024.9775,690328308.9675,704995759.8824999,719769048.1375,734748925.5474999,750013009.155,766411035.285,783007245.19,799773572.0975,816649927.3050001,833615624.5125,851336513.9300001,868856897.355,886305866.825,903885876.7125,921762936.0625,940606069.1600001,959562355.3050001,978502114.3774999,997195450.7525,1015532145.3675001,1034376690.6175001,1052680599.3074999,1070775724.8025,1089152600.0500002,1108167266.505,1128175418.315,1148953861.83,1170328666.87,1191962933.415,1213598149.6075
Indonesia,68091668.6275,69954473.0925,71787656.8,73615037.0375,75467312.9825,77373364.3725,79412998.745,81499345.7375,83626532.55,85778852.255,87945354.9725,90233616.6225,92492599.8775,94737500.24,96994821.08250001,99291020.2175,101717326.5875,104145472.64500001,106592713.05,109078747.595,111619322.72,114324060.23499998,117054223.0275,119788836.8725,122495097.2775,125154710.31,127877903.39,130501490.6375,133060111.32999998,135608814.6175,138193696.44,140907167.57999998,143679666.13,146496229.55,149320632.6525,152125097.05,155132032.7975,158088024.6025,161025567.35750002,164005671.70749998,167089980.61,170105238.79500002,173096550.45,176072320.7775,179027954.40249997,181959764.815,185374098.55,188799939.255,192250499.95,195745096.845,199282821.79500002,203462218.3375,207822901.91500002,212306767.2725,216836550.1225,220652318.05,225418954.42000002,230230846.95,235095452.26999998,240012009.25,244974717.7
Ireland,2931504.25,2924396.75,2934047.25,2952009.0,2962484.75,2971542.0,2976817.25,2988231.5,2995830.0,3005302.75,3026374.5,3046800.75,3080841.75,3117685.75,3154796.75,3195873.5,3233233.25,3264237.5,3293111.75,3331878.5,3357142.0,3392806.5,3426001.5,3447484.5,3469347.75,3477891.0,3477918.25,3489709.25,3495785.5,3497299.5,3504545.0,3528765.5,3561296.75,3586475.75,3607197.25,3635501.75,3668344.755,3713123.795,3768242.3125,3817831.42,3877173.5949999997,3950963.545,4032213.305,4111024.4124999996,4193806.1525,4294327.1049999995,4381524.085,4511791.3774999995,4636227.3325,4731867.2475000005,4815312.17,4892877.5525,4967458.945,5035657.5975,5115450.4399999995,5205943.9399999995,5302347.075,5399969.9375,5510901.59,5628800.865,5742031.955
Israel,1827844.69,1909204.03,1993729.73,2087585.99,2181980.05,2274620.49,2335538.67,2390456.6100000003,2478763.0,2551838.25,2632775.75,2720277.5,2901411.25,2957275.5,3058726.75,3145346.5,3229170.5,3311310.5,3393444.0,3487684.0,3574734.25,3637265.75,3691530.25,3758811.75,3864379.0,3932993.5,3997688.75,4060923.0,4126025.0,4195878.25,4338669.75,4630219.5,4810267.0,4952463.25,5096273.5,5247762.0,5453441.75,5601801.0,5745990.75,5901901.75,6073232.25,6239348.0,6394600.25,6537584.0,6674392.0,6812844.5175,6952503.24375,7090652.80875,7228735.30625,7460981.2425,7629724.6875,7822327.407500001,7995303.7175,8185072.630000001,8381530.914999999,8585772.8925,8791695.302499998,8996751.0225,9202173.395,9410297.25,9608864.0
Italy,49404472.5275,50023127.120000005,50609948.0875,51179869.96,51858072.675,52630208.28,53397602.2175,54136236.8725,54783123.364999995,55344318.5875,55891051.427499995,56399239.69,56880936.035,57345150.1825,57817182.5525,58393305.445,58970166.9275,59471211.5525,59952365.3975,60400300.465,60781666.79,61069669.365,61306663.445,61509401.385,61783016.185,62285462.345,62879508.152499996,63464764.502500005,64097724.9825,64766172.32,65431891.372499995,66075847.67,66691441.715,67257667.655,67812363.58,68473484.595,69184334.32249999,69812233.6175,70381638.7675,70945565.745,71537711.65,72180601.8225,72943973.185,73851506.53,74884471.13,75902925.715,76797039.9975,77706682.3675,78642232.79499999,79499846.2625,80301159.6,81126221.5925,81949503.125,82727939.19999999,83453349.4875,84021486.65,84499540.885,84930994.16499999,85338258.8725,85821392.935,86073194.8525
Japan,78598469.9675,79718649.8475,81149589.47999999,82345108.465,83734780.6425,85231289.9075,86541562.5175,88324699.0025,90015121.3075,91802384.8175,93462544.555,95701454.345,97810542.91499999,100015016.9675,102132568.03,104387019.6625,106311388.57,108175949.925,109991318.7225,111807761.03999999,113539215.4975,115343267.6275,117321359.705,119288125.96000001,121206956.4,123465995.2775,125546885.83500001,127720409.105,129773122.64750001,131874003.98750001,134053235.77000001,136179060.08,138650781.1625,141023364.365,143364046.6925,145836776.8075,148371845.41500002,150895261.3075,153401620.20499998,155693774.4325,158383261.7625,160758982.5,163314602.5,165899912.5,168294612.5,171294935.235,173757619.47000003,176170906.4975,178321124.3,180392616.7825,181985444.09,183070051.995,185033758.575,187030094.9725,188977755.82,190629013.4425,192312954.595,193747631.01999998,194945143.73250002,196023745.175,196793222.5
